"Boost_Clock","Core_Speed","Manufacturer","Memory","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
"1100 MHz ","1050 MHz","AMD","3072 MB ","128 Bit ","900 MHz","18 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"876 MHz ","705 MHz","Nvidia","12288 MB ","384 Bit ","1750 MHz","84 GPixel/s","28m"
"876 MHz ","705 MHz","Nvidia","12288 MB ","384 Bit ","1750 MHz","84 GPixel/s","28m"
"1252 MHz ","1140 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","120 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","24576 MB ","384 Bit ","1753 MHz","233 GPixel/s","28m"
"954 MHz ","902 MHz","Nvidia","6144 MB ","384 Bit ","1652 MHz","46 GPixel/s","28m"
"1089 MHz ","1000 MHz","Nvidia","24576 MB ","384 Bit ","1753 MHz","209 GPixel/s","28m"
"1089 MHz ","1000 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","105 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","117 GPixel/s","28m"
"980 MHz ","928 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","12288 MB ","384 Bit ","1502 MHz","84 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"980 MHz ","937 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"980 MHz ","889 MHz","Nvidia","6144 MB ","384 Bit ","1750 MHz","47 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"876 MHz ","837 MHz","Nvidia","6144 MB ","384 Bit ","1502 MHz","42 GPixel/s","28m"
"680 MHz ","630 MHz","AMD","2048 MB ","128 Bit ","900 MHz","5 GPixel/s","28m"
"1150 MHz ","300 MHz","Itel","128 MB ","128 Bit ","933 MHz","2 GPixel/s","14m"
"1300 MHz ","200 MHz","Itel","128 MB ","128 Bit ","800 MHz","3 GPixel/s","22m"
"900 MHz ","850 MHz","AMD","4096 MB ","256 Bit ","1200 MHz","29 GPixel/s","28m"
"950 MHz ","900 MHz","AMD","4096 MB ","256 Bit ","1250 MHz","30 GPixel/s","28m"
"900 MHz ","850 MHz","AMD","4096 MB ","256 Bit ","1200 MHz","58 GPixel/s","28m"
"900 MHz ","850 MHz","AMD","4096 MB ","256 Bit ","1200 MHz","29 GPixel/s","28m"
"900 MHz ","850 MHz","AMD","4096 MB ","256 Bit ","1200 MHz","58 GPixel/s","28m"
"900 MHz ","850 MHz","AMD","2048 MB ","256 Bit ","1200 MHz","29 GPixel/s","28m"
"900 MHz ","850 MHz","AMD","2048 MB ","128 Bit ","1000 MHz","7 GPixel/s","28m"
"825 MHz ","775 MHz","AMD","2048 MB ","128 Bit ","1125 MHz","7 GPixel/s","28m"
"775 MHz ","620 MHz","AMD","2048 MB ","128 Bit ","1000 MHz","6 GPixel/s","28m"
"825 MHz ","775 MHz","AMD","1024 MB ","64 Bit ","1125 MHz","7 GPixel/s","28m"
"700 MHz ","650 MHz","AMD","1024 MB ","128 Bit ","1000 MHz","6 GPixel/s","28m"
"825 MHz ","670 MHz","AMD","2048 MB ","128 Bit ","900 MHz","7 GPixel/s","28m"
"825 MHz ","775 MHz","AMD","1024 MB ","64 Bit ","900 MHz","7 GPixel/s","28m"
"700 MHz ","650 MHz","AMD","1024 MB ","64 Bit ","1125 MHz","22 GPixel/s","28m"
"825 MHz ","775 MHz","AMD","2048 MB ","64 Bit ","900 MHz","7 GPixel/s","28m"
"675 MHz ","575 MHz","AMD","2048 MB ","128 Bit ","900 MHz","11 GPixel/s","28m"
"825 MHz ","800 MHz","AMD","2048 MB ","128 Bit ","1000 MHz","7 GPixel/s","28m"
"980 MHz ","940 MHz","AMD","2048 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"715 MHz ","620 MHz","AMD","4096 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"825 MHz ","725 MHz","AMD","4096 MB ","128 Bit ","1000 MHz","7 GPixel/s","28m"
"940 MHz ","925 MHz","AMD","4096 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"855 MHz ","780 MHz","AMD","4096 MB ","64 Bit ","1000 MHz","7 GPixel/s","28m"
"1030 MHz ","1000 MHz","AMD","2048 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"1000 MHz ","900 MHz","AMD","4096 MB ","128 Bit ","1375 MHz","16 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","4096 MB ","128 Bit ","1500 MHz","18 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","4096 MB ","128 Bit ","1125 MHz","15 GPixel/s","28m"
"1021 MHz ","943 MHz","AMD","2048 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"1015 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1100 MHz","16 GPixel/s","28m"
"1015 MHz ","1000 MHz","AMD","2048 MB ","64 Bit ","1100 MHz","8 GPixel/s","28m"
"1015 MHz ","1000 MHz","AMD","4096 MB ","64 Bit ","1100 MHz","8 GPixel/s","28m"
"1030 MHz ","1000 MHz","AMD","2048 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"855 MHz ","780 MHz","AMD","2048 MB ","64 Bit ","1000 MHz","7 GPixel/s","28m"
"1030 MHz ","1000 MHz","AMD","4096 MB ","64 Bit ","1000 MHz","8 GPixel/s","28m"
"1000 MHz ","900 MHz","AMD","4096 MB ","128 Bit ","1375 MHz","16 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","4096 MB ","128 Bit ","1500 MHz","18 GPixel/s","28m"
"626 MHz ","533 MHz","AMD","2048 MB ","64 Bit ","667 MHz","10 GPixel/s","32m"
"900 MHz ","825 MHz","AMD","2048 MB ","128 Bit ","1125 MHz","7 GPixel/s","28m"
"993 MHz ","954 MHz","Nvidia","8192 MB ","256 Bit ","1250 MHz","32 GPixel/s","28m"
"993 MHz ","954 MHz","Nvidia","4096 MB ","256 Bit ","1250 MHz","32 GPixel/s","28m"
"1645 MHz ","1442 MHz","Nvidia","8192 MB ","256 Bit ","2002 MHz","105 GPixel/s","16m"
"1392 MHz ","1290 MHz","Nvidia","4096 MB ","128 Bit ","1752 MHz","45 GPixel/s","14m"
"1582 MHz ","1480 MHz","Nvidia","11264 MB ","352 Bit ","1376 MHz","139 GPixel/s","16m"
"1455 MHz ","1354 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","47 GPixel/s","14m"
"1670 MHz ","1404 MHz","Nvidia","6144 MB ","192 Bit ","2002 MHz","80 GPixel/s","16m"
"967 MHz ","941 MHz","Nvidia","6144 MB ","192 Bit ","1250 MHz","31 GPixel/s","28m"
"1733 MHz ","1556 MHz","Nvidia","8192 MB ","256 Bit ","1251 MHz","111 GPixel/s","16m"
"1097 MHz ","1029 MHz","Nvidia","4096 MB ","128 Bit ","1250 MHz","18 GPixel/s","28m"
"936 MHz ","876 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","15 GPixel/s","28m"
"1084 MHz ","936 MHz","Nvidia","4096 MB ","128 Bit ","1000 MHz","17 GPixel/s","28m"
"1097 MHz ","1029 MHz","Nvidia","4096 MB ","128 Bit ","1253 MHz","35 GPixel/s","28m"
"1124 MHz ","1029 MHz","Nvidia","2048 MB ","64 Bit ","1001 MHz","9 GPixel/s","28m"
"1124 MHz ","1029 MHz","Nvidia","2048 MB ","64 Bit ","1001 MHz","9 GPixel/s","28m"
"941 MHz ","850 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"1084 MHz ","936 MHz","Nvidia","2048 MB ","128 Bit ","1000 MHz","17 GPixel/s","28m"
"967 MHz ","941 MHz","Nvidia","3072 MB ","192 Bit ","1250 MHz","31 GPixel/s","28m"
"955 MHz ","775 MHz","Nvidia","1024 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"1097 MHz ","1029 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"950 MHz ","835 MHz","Nvidia","2048 MB ","128 Bit ","1000 MHz","15 GPixel/s","28m"
"850 MHz ","800 MHz","Nvidia","2048 MB ","64 Bit ","800 MHz","3 GPixel/s","40m"
"1150 MHz ","1082 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","9 GPixel/s","28m"
"797 MHz ","771 MHz","Nvidia","4096 MB ","256 Bit ","1250 MHz","26 GPixel/s","28m"
"863 MHz ","797 MHz","Nvidia","4096 MB ","128 Bit ","1000 MHz","28 GPixel/s","28m"
"657 MHz ","628 MHz","Nvidia","4096 MB ","128 Bit ","1000 MHz","21 GPixel/s","28m"
"657 MHz ","628 MHz","Nvidia","2048 MB ","128 Bit ","1002 MHz","11 GPixel/s","28m"
"1163 MHz ","967 MHz","Nvidia","2048 MB ","128 Bit ","900 MHz","19 GPixel/s","28m"
"1163 MHz ","967 MHz","Nvidia","2048 MB ","128 Bit ","900 MHz","19 GPixel/s","28m"
"1058 MHz ","941 MHz","Nvidia","2048 MB ","128 Bit ","1000 MHz","17 GPixel/s","28m"
"1045 MHz ","837 MHz","Nvidia","2048 MB ","128 Bit ","900 MHz","17 GPixel/s","28m"
"895 MHz ","810 MHz","Nvidia","2048 MB ","128 Bit ","900 MHz","14 GPixel/s","28m"
"1058 MHz ","980 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"875 MHz ","719 MHz","Nvidia","2048 MB ","128 Bit ","900 MHz","7 GPixel/s","28m"
"938 MHz ","775 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"941 MHz ","575 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","15 GPixel/s","28m"
"938 MHz ","625 MHz","Nvidia","1024 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"1128 MHz ","1038 MHz","Nvidia","8192 MB ","256 Bit ","1253 MHz","72 GPixel/s","28m"
"1127 MHz ","1038 MHz","Nvidia","8192 MB ","256 Bit ","1253 MHz","72 GPixel/s","28m"
"1127 MHz ","1038 MHz","Nvidia","4096 MB ","256 Bit ","1253 MHz","72 GPixel/s","28m"
"1038 MHz ","924 MHz","Nvidia","3072 MB ","192 Bit ","1253 MHz","58 GPixel/s","28m"
"993 MHz ","924 MHz","Nvidia","12288 MB ","192 Bit ","1253 MHz","95 GPixel/s","28m"
"1038 MHz ","924 MHz","Nvidia","3072 MB ","192 Bit ","1253 MHz","50 GPixel/s","28m"
"993 MHz ","924 MHz","Nvidia","6144 MB ","192 Bit ","1253 MHz","48 GPixel/s","28m"
"950 MHz ","924 MHz","Nvidia","4096 MB ","128 Bit ","1250 MHz","61 GPixel/s","28m"
"1190 MHz ","1064 MHz","Nvidia","4096 MB ","256 Bit ","1750 MHz","76 GPixel/s","28m"
"1097 MHz ","1029 MHz","Nvidia","4096 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"950 MHz ","924 MHz","Nvidia","4096 MB ","128 Bit ","1250 MHz","30 GPixel/s","28m"
"1097 MHz ","1029 MHz","Nvidia","2048 MB ","128 Bit ","1253 MHz","18 GPixel/s","28m"
"1124 MHz ","993 MHz","Nvidia","2048 MB ","128 Bit ","1000 MHz","18 GPixel/s","28m"
"1242 MHz ","1122 MHz","Nvidia","2048 MB ","64 Bit ","1001 MHz","10 GPixel/s","28m"
"1045 MHz ","928 MHz","Nvidia","2048 MB ","128 Bit ","1000 MHz","17 GPixel/s","28m"
"1124 MHz ","993 MHz","Nvidia","4096 MB ","128 Bit ","900 MHz","18 GPixel/s","28m"
"993 MHz ","914 MHz","Nvidia","2048 MB ","128 Bit ","1250 MHz","16 GPixel/s","28m"
"1176 MHz ","1072 MHz","Nvidia","2048 MB ","64 Bit ","1000 MHz","9 GPixel/s","28m"
"941 MHz ","928 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"1176 MHz ","1072 MHz","Nvidia","4096 MB ","64 Bit ","1000 MHz","9 GPixel/s","28m"
"954 MHz ","575 MHz","Nvidia","4096 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"954 MHz ","575 MHz","Nvidia","2048 MB ","64 Bit ","900 MHz","8 GPixel/s","28m"
"975 MHz ","925 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"1035 MHz ","985 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","33 GPixel/s","28m"
"1070 MHz ","1020 MHz","AMD","8192 MB ","256 Bit ","1425 MHz","68 GPixel/s","28m"
"1035 MHz ","985 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","33 GPixel/s","28m"
"1020 MHz ","970 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","33 GPixel/s","28m"
"985 MHz ","935 MHz","AMD","2048 MB ","256 Bit ","1425 MHz","32 GPixel/s","28m"
"1070 MHz ","1020 MHz","AMD","4096 MB ","256 Bit ","1425 MHz","34 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1625 MHz","17 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","256 Bit ","1425 MHz","34 GPixel/s","28m"
"975 MHz ","925 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","62 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","2048 MB ","128 Bit ","1625 MHz","18 GPixel/s","28m"
"1015 MHz ","975 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","32 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"975 MHz ","925 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"780 MHz ","730 MHz","AMD","2048 MB ","128 Bit ","900 MHz","6 GPixel/s","28m"
"825 MHz ","800 MHz","AMD","2048 MB ","128 Bit ","1125 MHz","7 GPixel/s","28m"
"855 MHz ","830 MHz","AMD","2048 MB ","128 Bit ","900 MHz","7 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","1150 MHz","8 GPixel/s","28m"
"1000 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","32 GPixel/s","28m"
"1080 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1550 MHz","35 GPixel/s","28m"
"1000 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","32 GPixel/s","28m"
"1100 MHz ","1020 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","3072 MB ","384 Bit ","1600 MHz","37 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","6144 MB ","384 Bit ","1500 MHz","34 GPixel/s","28m"
"1020 MHz ","870 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","33 GPixel/s","28m"
"1070 MHz ","950 MHz","AMD","3072 MB ","384 Bit ","1550 MHz","34 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","34 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","34 GPixel/s","28m"
"1030 MHz ","880 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","33 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1100 MHz ","950 MHz","AMD","3072 MB ","384 Bit ","1600 MHz","35 GPixel/s","28m"
"1100 MHz ","1000 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","35 GPixel/s","28m"
"1070 MHz ","970 MHz","AMD","3072 MB ","384 Bit ","1600 MHz","34 GPixel/s","28m"
"1000 MHz ","925 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","32 GPixel/s","28m"
"1000 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","32 GPixel/s","28m"
"1000 MHz ","933 MHz","AMD","3072 MB ","384 Bit ","1300 MHz","32 GPixel/s","28m"
"960 MHz ","855 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","31 GPixel/s","28m"
"953 MHz ","847 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"1072 MHz ","950 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","34 GPixel/s","28m"
"1000 MHz ","933 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","32 GPixel/s","28m"
"960 MHz ","855 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","31 GPixel/s","28m"
"980 MHz ","874 MHz","AMD","3072 MB ","384 Bit ","1300 MHz","31 GPixel/s","28m"
"940 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"1000 MHz ","850 MHz","AMD","3072 MB ","384 Bit ","1500 MHz","32 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","2048 MB ","256 Bit ","1450 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","2048 MB ","256 Bit ","1450 MHz","35 GPixel/s","28m"
"1080 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","2048 MB ","256 Bit ","1500 MHz","37 GPixel/s","28m"
"1070 MHz ","1020 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"1070 MHz ","1020 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"933 MHz ","827 MHz","AMD","3072 MB ","384 Bit ","1250 MHz","30 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","2048 MB ","256 Bit ","1500 MHz","37 GPixel/s","28m"
"1100 MHz ","1060 MHz","AMD","2048 MB ","256 Bit ","1425 MHz","35 GPixel/s","28m"
"1150 MHz ","1100 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","37 GPixel/s","28m"
"1080 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1180 MHz ","1150 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","38 GPixel/s","28m"
"1120 MHz ","1030 MHz","AMD","8192 MB ","256 Bit ","1400 MHz","72 GPixel/s","28m"
"1120 MHz ","1030 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","72 GPixel/s","28m"
"1080 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1080 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1140 MHz ","1100 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","36 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","8192 MB ","256 Bit ","1400 MHz","70 GPixel/s","28m"
"1120 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","36 GPixel/s","28m"
"1080 MHz ","1030 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","34 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","35 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","67 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"945 MHz ","920 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"1120 MHz ","1030 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","36 GPixel/s","28m"
"955 MHz ","930 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"975 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"975 MHz ","950 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"975 MHz ","950 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"950 MHz ","925 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"975 MHz ","950 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","59 GPixel/s","28m"
"1120 MHz ","1070 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","36 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"955 MHz ","930 MHz","AMD","4096 MB ","256 Bit ","1400 MHz","61 GPixel/s","28m"
"955 MHz ","930 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"1036 MHz ","1008 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","33 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"955 MHz ","930 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"955 MHz ","930 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"925 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","30 GPixel/s","28m"
"955 MHz ","900 MHz","AMD","2048 MB ","256 Bit ","1400 MHz","31 GPixel/s","28m"
"1288 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1338 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1288 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1328 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","42 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1342 MHz ","1208 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1306 MHz ","1208 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","42 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1330 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1279 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1279 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1303 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","42 GPixel/s","14m"
"1303 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","42 GPixel/s","14m"
"1291 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1291 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1338 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","81 GPixel/s","14m"
"1338 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","43 GPixel/s","14m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","800 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","900 MHz","8 GPixel/s","28m"
"1100 MHz ","1050 MHz","AMD","2048 MB ","128 Bit ","900 MHz","9 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","1024 MB ","128 Bit ","800 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","900 MHz","8 GPixel/s","28m"
"1288 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","900 MHz","8 GPixel/s","28m"
"1050 MHz ","1000 MHz","AMD","2048 MB ","128 Bit ","900 MHz","8 GPixel/s","28m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1288 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1290 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","4096 MB ","256 Bit ","1750 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
"1266 MHz ","1120 MHz","ATI","8192 MB ","256 Bit ","2000 MHz","41 GPixel/s","14m"
